"id","clipper_id","user_id","notes","location_bought","created_at","updated_at"
"019bb7c5-b021-722d-a5b8-85e69f17f1e3","019bb7c0-83d7-7352-b94b-d8e8424da48e","019bb7be-fec4-7390-a7e1-63b1a0c1067f",,,"2026-01-13 14:32:24","2026-01-13 14:32:24"
"019bb7c5-b02a-726c-9648-e9dbb6960466","019bb7c0-8031-7128-83e1-88a7100313c0","019bb7be-fec4-7390-a7e1-63b1a0c1067f",,,"2026-01-13 14:32:24","2026-01-13 14:32:24"
"019bb7c5-b030-7062-859a-9ee31f8132a8","019bb7c4-5ed8-72f6-9db8-3dd905f95d53","019bb7be-fec4-7390-a7e1-63b1a0c1067f",,,"2026-01-13 14:32:24","2026-01-13 14:32:24"
"019bb7c5-b037-7371-ac9c-833748ce4007","019bb7c4-628e-7247-b320-c2dac07457db","019bb7be-fec4-7390-a7e1-63b1a0c1067f",,,"2026-01-13 14:32:24","2026-01-13 14:32:24"
"019bb7c7-5b01-7080-974b-d27f63785c3b","019bb7c7-008e-7201-b5a4-267d65bd84c0","019bb7be-fec4-7390-a7e1-63b1a0c1067f",,,"2026-01-13 14:34:14","2026-01-13 14:34:14"
"019bb7c7-5dc3-7034-982c-04d26cdde1c4","019bb7c7-03a5-717d-9f28-ce745275b4af","019bb7be-fec4-7390-a7e1-63b1a0c1067f",,,"2026-01-13 14:34:14","2026-01-13 14:34:14"
"019bb7c8-b2df-71b6-b8d0-7b586141781d","019bb7c7-0a0c-7033-acd0-2f21baf6dfed","019bb7be-fec4-7390-a7e1-63b1a0c1067f",,,"2026-01-13 14:35:42","2026-01-13 14:35:42"
"019bb7cb-d0c2-70af-9f81-b0be062b6ae4","019bb7c9-4e32-7318-aed5-b24b2cc20828","019bb7be-fec4-7390-a7e1-63b1a0c1067f",,,"2026-01-13 14:39:06","2026-01-13 14:39:06"
"019bb7cb-d0c9-7021-99ac-9ce62f213497","019bb7c9-5267-7011-8559-75e4f66f6df2","019bb7be-fec4-7390-a7e1-63b1a0c1067f",,,"2026-01-13 14:39:06","2026-01-13 14:39:06"
"019bb7cb-d0cf-7035-bb81-51af1f151246","019bb7c9-56c9-7074-8ea6-9e259f417ee4","019bb7be-fec4-7390-a7e1-63b1a0c1067f",,,"2026-01-13 14:39:06","2026-01-13 14:39:06"
"019bb7cb-d0d5-714c-bec9-f78ab86155b8","019bb7c9-5b44-73c0-b8d5-6bc550766965","019bb7be-fec4-7390-a7e1-63b1a0c1067f",,,"2026-01-13 14:39:06","2026-01-13 14:39:06"
"019bb7cf-1805-7025-becd-df12bc6ec938","019bb7ce-dd22-73fa-9667-85e11a01c5c8","019bb7be-fec4-7390-a7e1-63b1a0c1067f",,,"2026-01-13 14:42:41","2026-01-13 14:42:41"
"019bb7d2-493a-73ae-9ca6-cc99ffc63122","019bb7d2-38cd-723d-9b93-d647d1b1963a","019bb7be-fec4-7390-a7e1-63b1a0c1067f",,,"2026-01-13 14:46:10","2026-01-13 14:46:10"
"019bb7d3-bc1a-7083-8414-1ec86ed2ce90","019bb7d3-7a7f-715a-91ba-696a71e1e19e","019bb7be-fec4-7390-a7e1-63b1a0c1067f",,,"2026-01-13 14:47:45","2026-01-13 14:47:45"
"019bb7d6-38b0-72e2-85b0-cde254786a0b","019bb7d6-1dfc-71d0-b4dc-b32d02ca18bc","019bb7be-fec4-7390-a7e1-63b1a0c1067f",,,"2026-01-13 14:50:28","2026-01-13 14:50:28"
"019bb7d7-9891-7374-bd56-fca94f4764fe","019bb7d7-755e-700a-8a77-44252d022225","019bb7be-fec4-7390-a7e1-63b1a0c1067f",,,"2026-01-13 14:51:58","2026-01-13 14:51:58"
"019bb7da-85dd-720c-a608-542eee044694","019bb7da-4cef-73ff-a6c5-9cec43545aca","019bb7be-fec4-7390-a7e1-63b1a0c1067f",,,"2026-01-13 14:55:10","2026-01-13 14:55:10"
"019bb7dd-4a78-71ab-b51a-96bd66674cde","019bb7dd-1016-7199-9f7f-f84e898b1675","019bb7be-fec4-7390-a7e1-63b1a0c1067f",,,"2026-01-13 14:58:11","2026-01-13 14:58:11"
"019bb7df-5670-7227-adb3-ff18c5a6624c","019bb7df-2686-7215-821c-b4a9fafa8925","019bb7be-fec4-7390-a7e1-63b1a0c1067f",,,"2026-01-13 15:00:25","2026-01-13 15:00:25"
"019bb7e0-b51d-7157-b307-b3a07e029ec7","019bb7e0-8eca-71b7-9d51-8b26348f60ed","019bb7be-fec4-7390-a7e1-63b1a0c1067f",,,"2026-01-13 15:01:55","2026-01-13 15:01:55"
"019bb7e2-9d83-71a3-8c2a-66246b46b3fc","019bb7e2-2ef0-7272-b27a-05f4e0f3e6b5","019bb7be-fec4-7390-a7e1-63b1a0c1067f",,,"2026-01-13 15:04:00","2026-01-13 15:04:00"
"019bb7e3-ff13-7269-af4c-42fd2dc5b761","019bb7e3-9078-7298-a54e-5a33b9170871","019bb7be-fec4-7390-a7e1-63b1a0c1067f",,,"2026-01-13 15:05:31","2026-01-13 15:05:31"
"019bb7e6-1cfe-73b1-8e56-191f2a975ced","019bb7e6-0889-7371-be05-8d0daf36610c","019bb7be-fec4-7390-a7e1-63b1a0c1067f",,,"2026-01-13 15:07:49","2026-01-13 15:07:49"
"019bb7e7-c77f-71ea-9dc1-d350afc38400","019bb7e7-b3e6-727f-ba21-72e4f48ac485","019bb7be-fec4-7390-a7e1-63b1a0c1067f",,,"2026-01-13 15:09:39","2026-01-13 15:09:39"
"019bb7eb-2f1b-7288-9f4b-3803796b8747","019bb7eb-06db-7082-8c97-e5d254b6a110","019bb7be-fec4-7390-a7e1-63b1a0c1067f",,,"2026-01-13 15:13:22","2026-01-13 15:13:22"
"019bb7ef-8598-7190-a70d-53e94fbee8df","019bb7ef-5574-718c-a4bd-de61ef3b6980","019bb7be-fec4-7390-a7e1-63b1a0c1067f",,,"2026-01-13 15:18:06","2026-01-13 15:18:06"
"019bb7f2-39e5-715f-a375-464d7d912161","019bb7f2-0bfb-72a9-b9a6-72940ceb16be","019bb7be-fec4-7390-a7e1-63b1a0c1067f",,,"2026-01-13 15:21:03","2026-01-13 15:21:03"
"019bb7f3-a6b2-728f-8950-bdd345a6821b","019bb7f3-842c-7034-9193-e12b1a2a5147","019bb7be-fec4-7390-a7e1-63b1a0c1067f",,,"2026-01-13 15:22:37","2026-01-13 15:22:37"
"019bb7f5-5c21-7159-99ff-8fe59eaddc92","019bb7f5-3f69-71b1-b2af-96dc7dee2b5b","019bb7be-fec4-7390-a7e1-63b1a0c1067f",,,"2026-01-13 15:24:29","2026-01-13 15:24:29"
"019bb7f7-98d1-73d9-bf5a-1a8d41d7f8c2","019bb7f6-dd8b-7029-aef5-4d4257836ea0","019bb7be-fec4-7390-a7e1-63b1a0c1067f",,,"2026-01-13 15:26:55","2026-01-13 15:26:55"
"019bb7fb-0de8-71f4-8b3f-c56e8e7050e2","019bb7fa-f281-72a1-8481-606ccc2a8a7d","019bb7be-fec4-7390-a7e1-63b1a0c1067f",,,"2026-01-13 15:30:42","2026-01-13 15:30:42"
"019bb7ff-b1d0-7289-b661-9c57d9b2a3ee","019bb7ff-6b11-7314-8d18-6d755ca76910","019bb7be-fec4-7390-a7e1-63b1a0c1067f",,,"2026-01-13 15:35:46","2026-01-13 15:35:46"
"019bb801-a747-7243-8ea3-fc026d1d067b","019bb801-87a4-72cb-ae23-0f190608444b","019bb7be-fec4-7390-a7e1-63b1a0c1067f",,,"2026-01-13 15:37:54","2026-01-13 15:37:54"
"019bb805-24b6-7160-bc6d-471b4eb583d5","019bb805-0233-7003-8d06-c4c61b8aa7d8","019bb7be-fec4-7390-a7e1-63b1a0c1067f",,,"2026-01-13 15:41:43","2026-01-13 15:41:43"
"019bb807-7ad4-71e7-b926-aee502af1146","019bb807-484b-73e1-8d9e-edb058a04e9c","019bb7be-fec4-7390-a7e1-63b1a0c1067f",,,"2026-01-13 15:44:16","2026-01-13 15:44:16"
"019bb809-dc91-7328-8f79-09b4f5fe5a2b","019bb809-bf93-7134-9b11-e861393dfe08","019bb7be-fec4-7390-a7e1-63b1a0c1067f",,,"2026-01-13 15:46:52","2026-01-13 15:46:52"
