"id","name","custom","accepted_by","image_data","created_at","updated_at","requested_by"
"019bb7c0-7cea-7033-933a-52542b7e8731","Tattoo Sentences","false","019bb7be-fec4-7390-a7e1-63b1a0c1067f","series/xk2MTdVlKxIFSY3Jf2oyJR02v6FsQNSXsgshNBrd.jpg","2026-01-13 14:26:44","2026-01-13 14:26:44","019bb7be-fec4-7390-a7e1-63b1a0c1067f"
"019bb7c6-fd07-7034-b242-ac1ca21d0af0","Matrix Pattern","false","019bb7be-fec4-7390-a7e1-63b1a0c1067f","series/HXrqk9D4xnzfWoJ0ocAxPb9xDfPa0dOdVF5VTGbp.jpg","2026-01-13 14:33:50","2026-01-13 14:33:50","019bb7be-fec4-7390-a7e1-63b1a0c1067f"
"019bb7c9-4a0c-707b-9768-303255f08c18","Eat Your Fruits","false","019bb7be-fec4-7390-a7e1-63b1a0c1067f","series/LCRa641BkkVGojPY1AnjZIXKENalA8tR2Z1q6L72.jpg","2026-01-13 14:36:20","2026-01-13 14:36:20","019bb7be-fec4-7390-a7e1-63b1a0c1067f"
"019bb7ce-da76-70fc-8593-59f80b19d414","Porn Slogan 6","false","019bb7be-fec4-7390-a7e1-63b1a0c1067f","series/MLfdTBpALmXpMB1n09LT7gkpVf27cQdsIVdplH6G.jpg","2026-01-13 14:42:25","2026-01-13 14:42:25","019bb7be-fec4-7390-a7e1-63b1a0c1067f"
"019bb7d0-8fac-722a-8fd9-bc25155c29c0","Pink Power","false","019bb7be-fec4-7390-a7e1-63b1a0c1067f","series/5UZeN1dEMyWtQZglwX1qT4HXHwXTYqb0pUwbriXr.jpg","2026-01-13 14:44:17","2026-01-13 14:44:17","019bb7be-fec4-7390-a7e1-63b1a0c1067f"
"019bb7d3-771f-73f4-ad45-f4e47622d12e","Einhorn Slogan","false","019bb7be-fec4-7390-a7e1-63b1a0c1067f","series/phd0NQiQMbQ7ujGq86HCuWPvYrPdHav7zf0TVfBX.jpg","2026-01-13 14:47:27","2026-01-13 14:47:27","019bb7be-fec4-7390-a7e1-63b1a0c1067f"
"019bb7d6-1a21-7049-b159-0f646bad04b6","Tiki Mask","false","019bb7be-fec4-7390-a7e1-63b1a0c1067f","series/7pZWyVVV48HL3s7qWLMGWh3OWce5nZg0iQh6w2H3.jpg","2026-01-13 14:50:20","2026-01-13 14:50:20","019bb7be-fec4-7390-a7e1-63b1a0c1067f"
"019bb7d7-7170-73d3-87a6-377fb8e7c45b","Neon Leaves","false","019bb7be-fec4-7390-a7e1-63b1a0c1067f","series/dK7tYQufRxV4iZIFrP2jMs3pWBk3Ruym52HxC8As.jpg","2026-01-13 14:51:48","2026-01-13 14:51:48","019bb7be-fec4-7390-a7e1-63b1a0c1067f"
"019bb7da-45e0-7276-8311-6da56aa02da0","Tiki#2","false","019bb7be-fec4-7390-a7e1-63b1a0c1067f","series/IrpPVCPApdQEbka5mpr6x3W2zRELJ8fF0Xn7xNSh.jpg","2026-01-13 14:54:53","2026-01-13 14:54:53","019bb7be-fec4-7390-a7e1-63b1a0c1067f"
"019bb7dd-061b-7138-a3c5-84be1b2008ff","Mandala 7","false","019bb7be-fec4-7390-a7e1-63b1a0c1067f","series/hMZAvcNPSJKUJJ6m03XN79tKpGE1bheDVppkqaOC.jpg","2026-01-13 14:57:54","2026-01-13 14:57:54","019bb7be-fec4-7390-a7e1-63b1a0c1067f"
"019bb7df-1e3f-7006-ae3b-a0ce6fd4090e","Geometrical Animals","false","019bb7be-fec4-7390-a7e1-63b1a0c1067f","series/oC2XHfLuoPWEhSabsyCZaeM9pFioRBtUljt2mfMt.jpg","2026-01-13 15:00:11","2026-01-13 15:00:11","019bb7be-fec4-7390-a7e1-63b1a0c1067f"
"019bb7e0-868d-72f2-8c74-6cd54d7f40c6","Mexican Skulls 5","false","019bb7be-fec4-7390-a7e1-63b1a0c1067f","series/m9LCVp11yXRjxcL4ldDdZiZ72yMIgLPz6BSJsNcD.jpg","2026-01-13 15:01:43","2026-01-13 15:01:43","019bb7be-fec4-7390-a7e1-63b1a0c1067f"
"019bb7e2-27a7-70c2-adc9-65a1e4993f53","Tattoo 2","false","019bb7be-fec4-7390-a7e1-63b1a0c1067f","series/iMEbNw5NhH79OmaHqT2pXJuJn5MRDaEamGSLgaSw.jpg","2026-01-13 15:03:30","2026-01-13 15:03:30","019bb7be-fec4-7390-a7e1-63b1a0c1067f"
"019bb7e3-8c53-7013-9bea-0eb27f7450b4","Skull Fire","false","019bb7be-fec4-7390-a7e1-63b1a0c1067f","series/GG1KO852cZw3EZrvXUpUMjRlxCaeMfa66SNNExjb.jpg","2026-01-13 15:05:01","2026-01-13 15:05:01","019bb7be-fec4-7390-a7e1-63b1a0c1067f"
